🧑	person	People & Body	person	adult|person	0
👱	person: blond hair	People & Body	person	blond|hair|haired|person	0
👨	man	People & Body	person	man	0
🧔	person: beard	People & Body	person	beard|bearded|person	0
🧔‍♂️	man: beard	People & Body	person	beard|man	0
🧔‍♀️	woman: beard	People & Body	person	beard|woman	0
👨‍🦰	man: red hair	People & Body	person	hair|haired|man|red	0
👨‍🦱	man: curly hair	People & Body	person	curly|hair|haired|man	0
👨‍🦳	man: white hair	People & Body	person	hair|haired|man|white	0
👨‍🦲	man: bald	People & Body	person	bald|man	0
👩	woman	People & Body	person	woman	0
👩‍🦰	woman: red hair	People & Body	person	hair|haired|red|woman	0
🧑‍🦰	person: red hair	People & Body	person	hair|person|red	0
👩‍🦱	woman: curly hair	People & Body	person	curly|hair|haired|woman	0
🧑‍🦱	person: curly hair	People & Body	person	curly|hair|person	0
👩‍🦳	woman: white hair	People & Body	person	hair|haired|white|woman	0
🧑‍🦳	person: white hair	People & Body	person	hair|person|white	0
👩‍🦲	woman: bald	People & Body	person	bald|woman	0
🧑‍🦲	person: bald	People & Body	person	bald|person	0
👱‍♀️	woman: blond hair	People & Body	person	blond|blonde|hair|haired|woman	0
👱‍♂️	man: blond hair	People & Body	person	blond|hair|haired|man	0
🧓	older person	People & Body	person	adult|older|person	0
👴	old man	People & Body	person	man|old|older	0
👵	old woman	People & Body	person	old|older|woman	0
🙍	person frowning	People & Body	person-gesture	frowning|person	0
🙍‍♂️	man frowning	People & Body	person-gesture	frowning|man	0
🙍‍♀️	woman frowning	People & Body	person-gesture	frowning|woman	0
🙎	person pouting	People & Body	person-gesture	face|person|pouting	0
🙎‍♂️	man pouting	People & Body	person-gesture	man|pouting	0
🙎‍♀️	woman pouting	People & Body	person-gesture	pouting|woman	0
🙅	person gesturing NO	People & Body	person-gesture	gesturing|good|person	0
🙅‍♂️	man gesturing NO	People & Body	person-gesture	gesturing|good|man	0
🙅‍♀️	woman gesturing NO	People & Body	person-gesture	gesturing|good|woman	0
🙆	person gesturing OK	People & Body	person-gesture	gesturing|person	0
🙆‍♂️	man gesturing OK	People & Body	person-gesture	gesturing|man	0
🙆‍♀️	woman gesturing OK	People & Body	person-gesture	gesturing|woman	0
💁	person tipping hand	People & Body	person-gesture	desk|hand|information|person|tipping	0
💁‍♂️	man tipping hand	People & Body	person-gesture	hand|man|sassy|tipping	0
💁‍♀️	woman tipping hand	People & Body	person-gesture	hand|sassy|tipping|woman	0
🙋	person raising hand	People & Body	person-gesture	hand|person|raising	0
🙋‍♂️	man raising hand	People & Body	person-gesture	hand|man|raising	0
🙋‍♀️	woman raising hand	People & Body	person-gesture	hand|raising|woman	0
🧏	deaf person	People & Body	person-gesture	deaf|person	0
🧏‍♂️	deaf man	People & Body	person-gesture	deaf|man	0
🧏‍♀️	deaf woman	People & Body	person-gesture	deaf|woman	0
🙇	person bowing	People & Body	person-gesture	bow|bowing|person	0
🙇‍♂️	man bowing	People & Body	person-gesture	bowing|man	0
🙇‍♀️	woman bowing	People & Body	person-gesture	bowing|woman	0
🤦	person facepalming	People & Body	person-gesture	facepalm|facepalming|person	0
🤦‍♂️	man facepalming	People & Body	person-gesture	facepalming|man	0
🤦‍♀️	woman facepalming	People & Body	person-gesture	facepalming|woman	0
🤷	person shrugging	People & Body	person-gesture	person|shrug|shrugging	0
🤷‍♂️	man shrugging	People & Body	person-gesture	man|shrugging	0
🤷‍♀️	woman shrugging	People & Body	person-gesture	shrugging|woman	0
🧑‍⚕️	health worker	People & Body	person-role	health|worker	0
👨‍⚕️	man health worker	People & Body	person-role	health|man|worker	0
👩‍⚕️	woman health worker	People & Body	person-role	health|woman|worker	0
🧑‍🎓	student	People & Body	person-role	student	0
👨‍🎓	man student	People & Body	person-role	man|student	0
👩‍🎓	woman student	People & Body	person-role	student|woman	0
🧑‍🏫	teacher	People & Body	person-role	teacher	0
👨‍🏫	man teacher	People & Body	person-role	man|teacher	0
👩‍🏫	woman teacher	People & Body	person-role	teacher|woman	0
🧑‍⚖️	judge	People & Body	person-role	judge	0
👨‍⚖️	man judge	People & Body	person-role	judge|man	0
👩‍⚖️	woman judge	People & Body	person-role	judge|woman	0
🧑‍🌾	farmer	People & Body	person-role	farmer	0
👨‍🌾	man farmer	People & Body	person-role	farmer|man	0
👩‍🌾	woman farmer	People & Body	person-role	farmer|woman	0
🧑‍🍳	cook	People & Body	person-role	cook	0
👨‍🍳	man cook	People & Body	person-role	cook|man	0
👩‍🍳	woman cook	People & Body	person-role	cook|woman	0
🧑‍🔧	mechanic	People & Body	person-role	mechanic	0
👨‍🔧	man mechanic	People & Body	person-role	man|mechanic	0
👩‍🔧	woman mechanic	People & Body	person-role	mechanic|woman	0
🧑‍🏭	factory worker	People & Body	person-role	factory|worker	0
👨‍🏭	man factory worker	People & Body	person-role	factory|man|worker	0
👩‍🏭	woman factory worker	People & Body	person-role	factory|woman|worker	0
🧑‍💼	office worker	People & Body	person-role	office|worker	0
👨‍💼	man office worker	People & Body	person-role	man|office|worker	0
👩‍💼	woman office worker	People & Body	person-role	office|woman|worker	0
🧑‍🔬	scientist	People & Body	person-role	scientist	0
👨‍🔬	man scientist	People & Body	person-role	man|scientist	0
👩‍🔬	woman scientist	People & Body	person-role	scientist|woman	0
🧑‍💻	technologist	People & Body	person-role	technologist	0
